Country Name,Event,Language,Region,annotation_id,no GG detected,region_specification,Theme_Combined,Year,Cumulative CO2,GDP_capita,Annual_Capita_CO2_Consumption,HDI,HDI_Level,LDC,SIDS
Micronesia,COP28,en,Oceania,544,Yes,,NG,2022,,3713.95536246102,1.3243006,0.634,Medium,No,Yes
New Zealand,COP28,en,Oceania,551,Yes,,NG,2022,0.10994452,48418.5916631992,6.212154,0.939,Very High,No,No
Niue,COP28,en,Oceania,552,Yes,,NG,2022,1.6771415e-05,,3.8729508,,,No,Yes
Palau,COP28,en,Oceania,554,Yes,,NG,2022,0.00062029343,12921.8273205171,12.123921,0.797,High,No,Yes
Solomon Islands,COP28,en,Oceania,566,Yes,,NG,2022,0.0006216531,2205.25180509148,0.41232163,0.562,Medium,Yes,Yes
Tonga,COP28,en,Oceania,573,Yes,,NG,2022,0.00027006882,4425.97149198516,1.7686282,0.739,High,No,Yes
Tuvalu,COP28,en,Oceania,576,Yes,,NG,2022,1.6993597e-05,5221.53279904243,1.0004411,0.653,Medium,Yes,Yes
Australia,COP24,en,Oceania,12,,,S_dom,2018,1.0876006,57273.5204750079,16.627844,0.946,Very High,No,No
Australia,COP25,en,Oceania,114,,,S_dom,2019,1.0883797,55049.571919719,16.398174,0.946,Very High,No,No
Australia,COP26,en,Oceania,232,,,S_int,2021,1.0884702,60697.2454358579,14.914762,0.946,Very High,No,No
Australia,COP27,en,Oceania,402,,,W_dom,2022,1.0877887,65099.8459118981,14.985412,0.946,Very High,No,No
Vanuatu,COP26,en,Oceania,317,,,W_dom AG,2021,0.00028949266,3044.57364031957,0.6588834,0.614,Medium,No,Yes
New Zealand,COP25,en,Oceania,145,,,W_int,2019,0.111089066,42796.4305818389,7.4367194,0.939,Very High,No,No
Samoa,COP25,en,Oceania,154,,,W_int,2019,0.00039438964,4308.3007294066,1.2794564,0.702,High,No,Yes
Tonga,COP26,en,Oceania,313,,,W_int,2021,0.00026495982,4425.97149198516,1.8028463,0.739,High,No,Yes
Bolivia,COP24,translated,South America,69,,,AG,2018,0.03063395,3471.0069506501,1.9386426,0.698,Medium,No,No
Suriname,COP25,en,South America,163,Yes,,AG,2019,0.0068797716,6690.04478601228,4.390763,0.69,Medium,No,Yes
Venezuela,COP25,translated,South America,180,Yes,,AG,2019,0.44668606,,3.024043,0.699,Medium,No,No
Venezuela,COP26,translated,South America,332,Yes,,AG,2021,0.43589744,,2.5394876,0.699,Medium,No,No
Ecuador,COP28,translated,South America,581,Yes,,AG,2022,0.07330046,6391.28248430643,2.3117273,0.765,High,No,No
Argentina,COP24,translated,South America,68,Yes,,NG,2018,0.49706456,11795.1627452798,4.066307,0.849,Very High,No,No
Chile,COP25,translated,South America,172,Yes,,NG,2019,0.17022602,14632.6903076927,4.8308606,0.86,Very High,No,No
Peru,COP25,translated,South America,178,Yes,,NG,2019,0.110685915,6955.88082448096,1.7780743,0.762,High,No,No
Chile,COP26,translated,South America,322,Yes,,NG,2021,0.17293103,16240.6077759729,4.5675793,0.86,Very High,No,No
Suriname,COP27,en,South America,466,Yes,,NG,2022,0.0070314966,5858.82466074423,5.8029985,0.69,Medium,No,Yes
Peru,COP27,translated,South America,477,Yes,,NG,2022,0.113152966,7125.82993135746,1.7891879,0.762,High,No,No
Paraguay,COP28,translated,South America,586,Yes,,NG,2022,0.011019608,6153.05565720044,1.3299496,0.731,High,No,No
Peru,COP28,translated,South America,587,Yes,,NG,2022,0.113152966,7125.82993135746,1.7891879,0.762,High,No,No
Paraguay,COP27,translated,South America,475,,,S_dom,2022,0.011019608,6153.05565720044,1.3299496,0.731,High,No,No
Guyana,COP28,en,South America,526,,,S_dom W_int,2022,0.0061479663,18199.4748396968,4.3736935,0.742,High,No,Yes
Brazil,COP26,en,South America,244,,LDC,S_dom W_reg,2021,0.9617524,7696.78483012849,2.3198576,0.76,High,No,No
Paraguay,COP24,translated,South America,73,,,W_dom,2018,0.009931908,6242.96145417898,1.3037562,0.731,High,No,No
Uruguay,COP25,translated,South America,179,Yes,,W_dom,2019,0.02195526,18098.361548609,1.8929877,0.83,Very High,No,No
Peru,COP26,translated,South America,330,,,W_dom,2021,0.112064935,6635.46414809173,1.6749027,0.762,High,No,No
Bolivia,COP25,translated,South America,173,,,W_int,2019,0.03131057,3472.38083136442,1.9193769,0.698,Medium,No,No
Ecuador,COP26,translated,South America,324,,,W_int,2021,0.07247184,5965.13287054416,2.2324002,0.765,High,No,No
Suriname,COP28,en,South America,568,,,W_reg,2022,0.0070314966,5858.82466074423,5.8029985,0.69,Medium,No,Yes
Vatican,COP26,en,Europe,318,Yes,,AG,2021,,,,,,No,No
Vatican,COP24,en,Europe,67,,,NG,2018,,,,,,No,No
Vatican,COP25,en,Europe,121,Yes,,NG,2019,,,,,,No,No
St Kitts and Nevis,COP26,en,North America,308,Yes,,NG,2021,,18035.3861402469,4.669984,0.838,Very High,No,Yes
St Kitts and Nevis,COP27,en,North America,465,Yes,,NG,2022,,20262.2671364514,4.708081,0.838,Very High,No,Yes
Timor-Leste,COP28,en,Asia,572,Yes,,NG,2022,,2389.2958750343,0.49869007,0.566,Medium,Yes,Yes
Democratic Republic of Congo,COP26,translated,Africa,340,,,S_int,2021,0.012645643,576.974729394136,0.041094083,0.481,Low,Yes,No
Vatican,COP28,translated,Europe,588,,LDC,W_reg AG,2022,,,,,,No,No
